index,title,subtitle,category,price,origin_price,unit,vintage,abv,volume,main,nose,palate,finish
0,金賓白波本威士忌,Jim Beam Kentucky Straight Bourbon Whiskey,"威士忌, 波本威士忌, 美國",360,448,瓶,,40.0,700mL,完全倚重人工生產方式，限制量產的金賓波本威士忌，陳釀期長達四年，酒質順滑香醇無比，擁有與眾不同的特殊風味，是美國波本威士忌相當具有代表性的一支酒款，其特色為採用蛇麻草培養液進行發酵，原料中大麥比例較高，口感為波本威士忌中較清柔的一支，色澤呈現金琥珀色，有著橡木桶香氣及香草味，後段香氣則較為辛辣，中段口感為飽滿淳厚，後段口感則是清爽且芳香。,清爽焦糖及香草味,豐富焦糖甜味，佐以淡淡炭燒木質感受,香醇可口，帶有飴糖與香草的芬芳
1,傑克丹尼爾田納西威士忌,Jack Daniel’s Tennessee Whisky,"威士忌, 田納西威士忌, 美國",580,720,瓶,,40.0,700mL,使用純淨天然泉水及優質穀物發酵，採用獨特之酸麥芽漿發酵法，以傳統蒸餾器蒸餾，並以獨特的糖楓木炭過濾，使酒液嚐起香醇不辛辣，而後再以全新燻燒製成的美國白橡木桶陳釀4年以上，木桶會隨著周圍氣候的改變而收縮、膨脹，威士忌就從木材內滲入滲出，而木材釋放出的獨特氣味就會與威士忌混合在一起，使威士忌帶有獨特芳香並呈現琥珀色。,木材釋放出的獨特氣味,不帶辛辣有特殊果香甜,帶點煙燻味道
2,傑克丹尼爾田納西蜂蜜威士忌,Jack Daniel’s Tennessee Honey,"威士忌, 田納西威士忌, 美國",699,874,瓶,,35.0,700mL,傑克丹尼田納西蜂蜜威士忌與傑克丹尼使用相同的原料及製作工法，再賦予蜂蜜的香甜，天然的甜味是其他蜂蜜威士忌所無法比擬，誕生出口感更為滑順甘甜的傑克丹尼威士忌。,木材釋放出的獨特氣味,不帶辛辣有特殊蜂蜜香甜,滑順甘甜
3,傑克丹尼紳士傑克田納西威士忌,Jack Daniel’s Gentlemen Jack,"威士忌, 田納西威士忌, 美國",249,311,瓶,,40.0,200mL,圓潤且平衡的中等琥珀色威士忌。令人愉悅的焦糖，香草和木質香氣的混合物，並帶有淡淡的果香。木炭醇厚賦予傑克丹尼爾獨特的光滑度和個性。與傑克丹尼田納西州威士忌相比，紳士傑克具有令人印象深刻的複雜性和風味。主要區別在於，它在裝滿木桶之前和裝瓶之前都經過木炭過濾，因此具有雙重香氣。,焦糖，橡木燒焦和大茴香的香氣,甘草精製的口感，帶有橡木和肉桂的味道，還有一點香蕉味,有很多香料和柑橘
4,傑克丹尼原桶田納西威士忌,Jack Daniel's Single Barrel,"威士忌, 原桶酒, 田納西威士忌, 美國",1399,1749,瓶,,45.0,700mL,使用純淨天然泉水及優質穀物發酵，採用獨特之酸麥芽漿發酵法，以傳統蒸餾器蒸餾，並以獨特的糖楓木炭過濾，使酒液嚐起香醇不辛辣，而後再以全新燻燒製成的美國白橡木桶陳釀 4 年以上，木桶會隨著周圍氣候的改變而收縮、膨脹，威士忌就從木材內滲入滲出，而木材釋放出的獨特氣味就會與威士忌混合在一起，使威士忌帶有獨特芳香並呈現琥珀色。,濃厚的糖蜜與巧克力香氣,帶著些許擦亮過後的皮革清新，豐富的油脂略帶苦澀的威士忌更容易入喉，厚實的口感中散發著熟透的香蕉與乾果氣息以及明顯的木香,綿長甘甜的尾韻以及一抹辛香料的刺激
5,約翰走路紅牌調和威士忌,Johnnie Walker Red Label ,"威士忌, 調和威士忌, 蘇格蘭",420,450,瓶,,40.0,700mL,約翰走路紅牌由約 35 種不同地區的蘇格蘭威士忌調配而成，具有傳統蘇格蘭威士忌的特質，濃郁芳香中帶有甘甜及煙燻香味。入口濃醇清新，蘊含香草以及煙燻麥芽香。紅牌向以大膽強勁、風味獨特而聞名遐邇，即使調配之後依然卓越超群。,混合著清新豐富的水果氣息,絲絨般的豐富醇厚口感，然後享受到迷人的煙燻味,濃郁的香草味
6,約翰走路黑牌12年調和威士忌,Johnnie Walker Black Label 12 Years Old Whisky,"威士忌, 調和威士忌, 蘇格蘭",720,900,瓶,12,40.0,700mL,由 40 多種不同地區的蘇格蘭威士忌調配而成，每種威士忌都至少在橡木桶中陳年超過 12 年。由於各地區不同的氣候和 橡木桶等錯綜複雜的因素，每一種威士忌成熟的方式略有不同。調酒大師的技藝就在於將這些威士忌調配在一起，以創造出獨具超凡口味的威士忌。細細品嚐將感受到黑牌深邃複雜的口味：首先是絲絨般的豐富醇厚口感，然後享受到迷人的煙燻味，混合著清新豐富的水果氣息，其中還可以品嚐到濃郁的香草味。,混合著清新豐富的水果氣息,絲絨般的豐富醇厚口感，然後享受到迷人的煙燻味,濃郁的香草味
7,約翰走路金牌18年調和威士忌,Johnnie Walker Platinum 18 Years Old Blend Scotch Whisky,"威士忌, 調和威士忌, 蘇格蘭",1299,1600,瓶,18,40.0,750mL,歷經 18 個寒暑的優雅熟成，交融 18 種風味絕佳的蘇格蘭威士忌，形塑如絲綢般圓潤、馥郁的琥珀佳釀。蜜餞的香甜、奶油的綿密，煙燻的奔放，於舌尖釋放，在口中擴散。整體富含繽紛花香及馥郁果香，啜飲入口，先有溫暖的熟成水果香、麥芽味、柔順綿密的香草，之後帶出絲絲杏仁、橙香風味，尾韻則以黑巧克力、焦糖橙皮和淡淡的煙燻氣息收尾，細細品嚐，體會於口中綻放的絲絲驚豔。,優雅果香中帶有太妃焦糖和香草的沁甜香味，與煙燻味。,暖暖且富郁的蜜餞甜味、麥芽穀味、與柔順綿密的香草味，而後又帶出絲絲杏仁、橙香、與煙燻氣息,黑巧克力、焦糖橙皮與淡淡煙燻味於口中徘徊
8,約翰走路藍牌調和威士忌,"Johnnie Walker Blue Label
","威士忌, 調和威士忌, 蘇格蘭",3199,3999,瓶,,40.0,750mL,擁有無與倫比的豐富層次與煙燻風味，口感像絲綢般滑順，更有如一道道波浪，帶來各種強烈的味覺饗宴。一入口，舌齒之間便充滿榛果、蜂蜜、雪莉酒香與柳橙果香，接著是隱約的薑味、金橘、檀香木與黑巧克力香味。濃郁的蜂蜜甜味最先湧現，伴隨淡雅的胡椒與乾果味道，最後是柔和的煙燻味，完美平衡的風味組合，餘韻繚繞不絕餘口。,榛果、蜂蜜、雪莉酒香與柳橙果香,薑味、金橘、檀香木與黑巧克力香味,濃郁的蜂蜜甜味，伴隨淡雅的胡椒與乾果味道，最後是柔和的煙燻味
9,麥卡倫雪莉雙桶12年單一純麥威士忌,Macallan Highland Single Malt Scotch Whisky 12 Double Cask,"威士忌, 單一麥芽威士忌, 蘇格蘭",1200,1420,瓶,12,40.0,700mL,以歐洛羅索雪莉酒為美國與歐洲橡木桶橡木桶潤桶，之間的完美融合，創造出這款特色鮮明，風味溫潤，口感和諧的單一麥芽威士忌。技藝精湛的麥卡倫釀酒大師團隊以完美的歐洲與美國雪莉橡木桶比例，凸顯出兩種雪莉橡木細緻迷人的風味，成為品酩焦點；馥郁的果香、雪莉酒與木質辛香料，提供熟悉親切的經典麥卡倫風味。,蘇格蘭奶油糖、太妃糖蘋果，柑橘蜜餞、香草卡士達醬與新橡木氣息,如蜂蜜般香甜可口，木質辛香與葡萄乾、焦糖均衡呈現,橡木餘味，溫暖且甜美
